ORDEM_REGRA,CHAVE_GRUPO,CLASSIFICACAO,NOME_LISTA,PALAVRA_FILTRO,REGRA,TOTAL_ATINGIDAS,TOTAL_CLASSIFICADAS_VAZIAS,TOTAL_JA_CLASSIFICADAS,TOTAL_SOBRESCRITAS
1,CRED_ATEND_EMERGENCIA,CRED_ATEND EMERGENCIA,lista_cred_atend_emergencia,,TIPO igual a 1 | CONTRATACAO igual a rede credenciada,23079,23079,0,0
2,HOSPITALAR,HOSPITALAR,lista_hospitalar,,TIPO igual a 1 | CONTRATACAO igual a rede propria,134793,134793,0,0
3,QUALIVIDA,QUALIVIDA,lista_qualivida,QUALIVIDA|QUALIVITA,TIPO diferente de 6 | LOCAL contem qualivida|qualivita | ESPECIALIDADE contem qualivida|qualivita,3240,3240,0,0
4,QUALIVIDA,QUALIVIDA,lista_qualivida,SINTA-SE|SINTASE|SINTA SE|VIVER BEM,TIPO diferente de 6 | LOCAL contem sinta-se|sintase|sinta se|viver bem,626,626,0,0
5,NASCER_BEM,NASCER BEM,lista_nascer_bem,NB|RISCO,TIPO diferente de 6 | LOCAL contem \\bnb\\b|risco,703,703,0,0
6,TELEMEDICINA,TELEMEDICINA,lista_telemedicina,TELEM,TIPO diferente de 6 | LOCAL contem telemed|telemedicina|telem,96,96,0,0
7,PRODUTO_COORDENADO,PRODUTO COORDENADO,lista_produto_coordenado,NOSSO MEDICO|NOTRELIFE|NUCLEO MF|PROD. COORD|PROD.COORD,TIPO diferente de 6 | LOCAL contem nosso medico|notrelife|nucleo mf|prod. coord|prod.coord,1666,1666,0,0
8,CASE,CASE,lista_case,CASE,TIPO diferente de 6 | LOCAL contem case | ESPECIALIDADE contem case,1433,1433,0,0
9,TRANSPLANTE,TRANSPLANTE,lista_transplante,TRANSPL,TIPO diferente de 6 | ESPECIALIDADE contem transpl,16,15,1,1
10,TEA,TEA,lista_tea,TEA,TIPO diferente de 6 | LOCAL contem tea,99,99,0,0
11,GESTAR_BEM,GESTAR BEM,lista_gestar_bem,GESTAR|GESTAR BEM|PGS,TIPO diferente de 6 | LOCAL contem gestar|gestar bem|pgs | ESPECIALIDADE contem gestar|gestar bem,716,716,0,0
12,TELECONSULTA,TELECONSULTA,lista_teleconsulta,PGC|TRANSPLANTE|CASE,TIPO igual a 6 | ESPECIALIDADE contem pgc|transplante|case,1041,1041,0,0
13,TELECONSULTA_ELETIVA,TELECONSULTA ELETIVA,lista_teleconsulta_eletiva,,TIPO igual a 6 | ESPECIALIDADE diferente de pgc|transplante|case,162231,162231,0,0
14,TELECONSULTA_URGENCIA,TELECONSULTA URGENCIA,lista_teleconsulta_urgencia,,TIPO igual a 7,46157,46157,0,0
15,MED_PREV,MED PREV,lista_med_prev,,TIPO igual a 4 | CONTRATACAO igual a rede propria,7355,6537,818,818
16,CRED_TRATAMENTO,CRED_TRATAMENTO,lista_cred_tratamento,,TIPO igual a 4 | CONTRATACAO igual a rede credenciada,37332,37327,5,5
17,MED_PREV,MED PREV,lista_med_prev_tipo_2,MED PREV|MEDPREV,TIPO igual a 2 | CONTRATACAO igual a rede propria | ESPECIALIDADE contem med prev|medprev,5,5,0,0
18,HAPCLINICA,HAPCLINICA,lista_hapclinica,,TIPO igual a 2 | CONTRATACAO igual a rede propria | ESPECIALIDADE diferente de med prev|medprev,327860,320195,7665,7665
19,ODONTOLOGIA,ODONTOLOGIA,lista_odontologia,,TIPO igual a 5,12194,12194,0,0
20,ODONTOLOGIA,ODONTOLOGIA,lista_odontologia_2,ODONT,ESPECIALIDADE contem odont,11906,0,11906,11906
21,CRED_ATEND_ELETIVO,CRED_ATEND ELETIVO,lista_cred_atend_eletivo,ODONT,TIPO igual a 3 | CONTRATACAO igual a rede credenciada,1123,1123,0,0
22,CRED_ATEND_ELETIVO,CRED_ATEND ELETIVO,lista_cred_atend_eletivo,ODONT,TIPO igual a 3 | CONTRATACAO igual a rede credenciada,1123,0,1123,1123
23,LABORATORIO,LABORATORIO,lista_laboratorio,,TIPO igual a 8 | CONTRATACAO igual a rede propria,30460,30453,7,7
24,CRED_LABORATORIO,CRED_LABORATORIO,lista_cred_laboratorio,,TIPO igual a 8 | CONTRATACAO igual a rede credenciada,11207,11207,0,0
25,VIDA_IMAGEM,VIDA IMAGEM,lista_vida_imagem,,TIPO igual a 9 | CONTRATACAO igual a rede propria,843,843,0,0
26,CRED_EXAMES,CRED_EXAMES,lista_cred_exames,,TIPO igual a 9 | CONTRATACAO igual a rede credenciada,148,148,0,0
27,CRED_INTERNACAO,CRED_INTERNACAO,lista_cred_internacao,,"TIPO igual a [10, 11, 12, 13] | CONTRATACAO igual a rede credenciada",324,324,0,0
28,INTERNACAO,INTERNACAO,lista_internacao,,"TIPO igual a [10, 11, 12, 13] | CONTRATACAO igual a rede propria",5,5,0,0
29,INTERNACAO_PGC,INTERNACAO PGC,lista_internacao_pgc,,TIPO igual a 14,208,208,0,0
