LOCAL,QUANTIDADE
CENTRO MEDICO ESPECIALIDADES,1777
MAIS SAUDE SANTA EFIGENIA,1580
CLINICA MINEIRA DE APARECIDA,1043
CENTRO CLINICO VENDA NOVA,1009
CLIN J ALBUQUERQUE,956
NOVA CLINICA CARIRI,942
CLINICA RIO AZUL,893
CENTRO CLIN ANDRADE NEVES II,738
COPE CENTRO OFTALMOL,663
CLINICA DE PSIQ E PSICOLOGIA,617
CLINICA E DIAGNOSTICO BARREIRO,612
CLINICA WALLIG,556
CLINICA JARDIM DOS ESTADOS,422
NOVA OFTALMOLOGIA PIRACICABA,383
COPE IMPERATRIZ,357
CENTRO CLINICO SANTA MONICA,283
CENTRO ONCOLOGICO CABRAL,238
CLINICA GUAÍBA,224
CLINICA JARDIM PRIMAVERA,215
CLINIC MAREC DEODORO,215
CL MARECHAL DEODORO,213
CLINICA JARDIM CENTRAL,173
CLIN ESP IRACEMAPOLIS,113
NUCLEO DE ONCOLOGIA,112
PA MARIA MENDES,104
CLINICA GAMA,104
CLINICA GUARIBA,104
ONCOLOGIA AUGUSTO DE LIMA,102
CLINICA PRUDENTE DE MORAES,99
CENTRO CIRURGICO JUNDIAI,97
CLINICA ATTENTIS,96
NOVA CLINICA E SAD ARARAS,88
CLINICA SERRANA,54
CLINICA SONORA,48
CENTRO CLINICO NOVA SERRANA,46
CENTRO CLINICO DR SANTOS,46
CLINICA MONTENEGRO,41
COPE CAMARAGIBE,34
CLINICA FLORENCA PAULISTA,30
CONSULTORIO GUSTAVO DELLA,25
HOSPITAL FRANCA,20
AMB AERIS IND E COM DE EQUI GE,14
CASE AUGUSTO DE LIMA,14
CONSULTORIO FABRICIO MARTINS,12
CONSULT MAURO KALIFE,12
CONSULT. ALEXANDRE CASSARO,11
CLINICA RIO BRILHANTE,11
CONSULTORIO CLAUDIO GABRIELE,9
CLINICA CHAPADAO DO CEU,8
CONSULT PAULO N S MARQUES,8
CLINICA SOLO DE LUCENA,8
CLINICA NAVIRAI,8
CONSULTORIO GUSTAVO RUAS,6
CONSULT. DANIEL DINIZ DE FREI,5
CLINICA MARILIA TOMAZIN,4
PA EDEIA,4
CLINICA CINTIA KAORI KUROGI,3
CLINICA RIO JOAO LEITE,3
PA RIO VERDE,3
CONSULTORIO CINCINATO NOGUEIRA,2
IRMANDADE SENHOR DOS PASSOS E SANTA CASA DE M,2
CLINICA TASSIANA VALENTIN,2
CLINICA POÇOS DE CALDAS,1
CLINICA MARILUCI TOSI ADDAD,1
MEDICINA PREVENTIVA FRANCA,1
TRAJANO II,1
CENTRO CLINICO E ORTOPEDICO DE CEILANDIA LTDA,1
CLINICA FISIOGYN LTDA,1
