ORDEM_REGRA,NOME_LISTA,CHAVE_GRUPO,CLASSIFICACAO_NOVA,CLASSIFICACAO_ANTERIOR,QUANTIDADE
9,lista_transplante,TRANSPLANTE,TRANSPLANTE,QUALIVIDA,1
15,lista_med_prev,MED_PREV,MED PREV,QUALIVIDA,362
15,lista_med_prev,MED_PREV,MED PREV,PRODUTO COORDENADO,302
15,lista_med_prev,MED_PREV,MED PREV,CASE,108
15,lista_med_prev,MED_PREV,MED PREV,TEA,45
15,lista_med_prev,MED_PREV,MED PREV,TELEMEDICINA,1
16,lista_cred_tratamento,CRED_TRATAMENTO,CRED_TRATAMENTO,TEA,3
16,lista_cred_tratamento,CRED_TRATAMENTO,CRED_TRATAMENTO,QUALIVIDA,2
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,QUALIVIDA,3501
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,PRODUTO COORDENADO,1352
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,CASE,1283
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,NASCER BEM,703
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,GESTAR BEM,671
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,TELEMEDICINA,95
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,TEA,44
18,lista_hapclinica,HAPCLINICA,HAPCLINICA,TRANSPLANTE,16
20,lista_odontologia_2,ODONTOLOGIA,ODONTOLOGIA,ODONTOLOGIA,11904
20,lista_odontologia_2,ODONTOLOGIA,ODONTOLOGIA,CRED_TRATAMENTO,2
22,lista_cred_atend_eletivo,CRED_ATEND_ELETIVO,CRED_ATEND ELETIVO,CRED_ATEND ELETIVO,1123
23,lista_laboratorio,LABORATORIO,LABORATORIO,TEA,7
